geometry,latitude,longitude,distance,elevation,name,types,plus_code,vicinity,lifeline_number,lifeline_category
"{'location': {'lat': 39.54175590000001, 'lng': -104.9147686}, 'viewport': {'northeast': {'lat': 39.54331483029151, 'lng': -104.9132777197085}, 'southwest': {'lat': 39.54061686970851, 'lng': -104.9159756802915}}}",39.54175590000001,-104.9147686,22.9154,1793,United States Postal Service,"['post_office', 'finance', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'G3RP+P3 Highlands Ranch, Colorado, United States', 'global_code': '85FQG3RP+P3'}","9609 South University Boulevard, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.5467426, 'lng': -104.9961203}, 'viewport': {'northeast': {'lat': 39.54835398029149, 'lng': -104.9947915197085}, 'southwest': {'lat': 39.5456560197085, 'lng': -104.9974894802915}}}",39.5467426,-104.9961203,21.4337,1727,Douglas County Libraries,"['library', 'point_of_interest', 'establishment']","{'compound_code': 'G2W3+MH Highlands Ranch, Colorado, United States', 'global_code': '85FQG2W3+MH'}","9292 South Ridgeline Boulevard, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.560742, 'lng': -104.8699073}, 'viewport': {'northeast': {'lat': 39.56203413029149, 'lng': -104.8684940697085}, 'southwest': {'lat': 39.55933616970849, 'lng': -104.8711920302915}}}",39.560742,-104.86990729999998,22.3871,1800,Grace Chapel,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H46J+72 Englewood, Colorado, United States', 'global_code': '85FQH46J+72'}","8505 South Valley Highway, Englewood",1,safety_security
"{'location': {'lat': 39.562919, 'lng': -104.9172503}, 'viewport': {'northeast': {'lat': 39.5642390302915, 'lng': -104.9156103197085}, 'southwest': {'lat': 39.5615410697085, 'lng': -104.9183082802915}}}",39.562919,-104.9172503,20.6002,1764,SkyView Academy,"['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'H37M+53 Highlands Ranch, Colorado, United States', 'global_code': '85FQH37M+53'}","6161 Business Center Drive, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.5649407, 'lng': -105.0723624}, 'viewport': {'northeast': {'lat': 39.5662900802915, 'lng': -105.0711970697085}, 'southwest': {'lat': 39.5635921197085, 'lng': -105.0738950302915}}}",39.5649407,-105.0723624,20.6389,1691,Sant Nirankari Mission Spiritual Center,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'HW7H+X3 Columbine, Colorado, United States', 'global_code': '85FPHW7H+X3'}",Littleton,1,safety_security
"{'location': {'lat': 39.5686442, 'lng': -104.9657012}, 'viewport': {'northeast': {'lat': 39.5699931802915, 'lng': -104.9641599197085}, 'southwest': {'lat': 39.56729521970851, 'lng': -104.9668578802915}}}",39.5686442,-104.9657012,19.106,1746,Denver Colorado Temple,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H29M+FP Centennial, Colorado, United States', 'global_code': '85FQH29M+FP'}","2001 East Phillips Circle, Centennial",1,safety_security
"{'location': {'lat': 39.5693276, 'lng': -105.1222527}, 'viewport': {'northeast': {'lat': 39.5704533802915, 'lng': -105.1208971697085}, 'southwest': {'lat': 39.5677554197085, 'lng': -105.1235951302915}}}",39.5693276,-105.1222527,22.0389,1753,Jefferson County Sheriffs Office,"['police', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'HV9H+P3 Ken Caryl, Colorado, United States', 'global_code': '85FPHV9H+P3'}","11139 Bradford Road, Littleton",1,safety_security
"{'location': {'lat': 39.5822803, 'lng': -104.8315318}, 'viewport': {'northeast': {'lat': 39.58359768029149, 'lng': -104.8298032197085}, 'southwest': {'lat': 39.58089971970849, 'lng': -104.8325011802915}}}",39.5822803,-104.8315318,22.142,1754,Arapahoe County District Court,"['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'H5J9+W9 Centennial, Colorado, United States', 'global_code': '85FQH5J9+W9'}","7325 South Potomac Street #100, Centennial",1,safety_security
"{'location': {'lat': 39.584708, 'lng': -104.989323}, 'viewport': {'northeast': {'lat': 39.58614933029151, 'lng': -104.9878574697085}, 'southwest': {'lat': 39.58345136970851, 'lng': -104.9905554302915}}}",39.584708,-104.989323,17.2018,1703,South Suburban Christian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H2M6+V7 Littleton, Colorado, United States', 'global_code': '85FQH2M6+V7'}","7275 South Broadway, Littleton",1,safety_security
"{'location': {'lat': 39.5849998, 'lng': -104.8677889}, 'viewport': {'northeast': {'lat': 39.58629483029149, 'lng': -104.8664400697085}, 'southwest': {'lat': 39.58359686970849, 'lng': -104.8691380302915}}}",39.5849998,-104.8677889,20.1223,1765,US Post Office,"['post_office', 'finance', 'point_of_interest', 'establishment']","{'compound_code': 'H4MJ+XV Centennial, Colorado, United States', 'global_code': '85FQH4MJ+XV'}","7255 South Havana Street #140, Centennial",1,safety_security
