geometry,name,plus_code,types,vicinity,latitude,longitude,distance,lifeline_number,lifeline_category
"{'location': {'lat': 39.7509452, 'lng': -105.0024767}, 'viewport': {'northeast': {'lat': 39.7522227302915, 'lng': -105.0010329197085}, 'southwest': {'lat': 39.7495247697085, 'lng': -105.0037308802915}}}",Ent Credit Union: LoDo Service Center,"{'compound_code': 'QX2X+92 Denver, Colorado, United States', 'global_code': '85FPQX2X+92'}","['atm', 'finance', 'point_of_interest', 'establishment']","1499 Wynkoop Street #100, Denver",39.750945200000004,-105.0024767,1.6715,5,communications
"{'location': {'lat': 39.75334590000001, 'lng': -105.0032827}, 'viewport': {'northeast': {'lat': 39.7548048302915, 'lng': -105.0017938697085}, 'southwest': {'lat': 39.7521068697085, 'lng': -105.0044918302915}}}",First Western Trust Bank,"{'compound_code': 'QX3W+8M Denver, Colorado, United States', 'global_code': '85FPQX3W+8M'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1900 16th Street Mall #1200, Denver",39.75334590000001,-105.0032827,1.9264,5,communications
"{'location': {'lat': 39.755119, 'lng': -105.2190122}, 'viewport': {'northeast': {'lat': 39.7563694802915, 'lng': -105.2175732697085}, 'southwest': {'lat': 39.7536715197085, 'lng': -105.2202712302915}}}",Wells Fargo Bank,"{'compound_code': 'QQ4J+29 Golden, Colorado, United States', 'global_code': '85FPQQ4J+29'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","1301 Jackson Street, Golden",39.755119,-105.2190122,19.659000000000002,5,communications
"{'location': {'lat': 39.824055, 'lng': -104.775233}, 'viewport': {'northeast': {'lat': 39.8253952302915, 'lng': -104.7736921197085}, 'southwest': {'lat': 39.8226972697085, 'lng': -104.7763900802915}}}",Cardtronics ATM,"{'compound_code': 'R6FF+JW Denver, Colorado, United States', 'global_code': '85FQR6FF+JW'}","['atm', 'finance', 'point_of_interest', 'establishment']","7001 Yampa Street, Denver",39.824055,-104.775233,20.6757,5,communications
"{'location': {'lat': 40.0151607, 'lng': -105.2504772}, 'viewport': {'northeast': {'lat': 40.01642133029149, 'lng': -105.2490986197085}, 'southwest': {'lat': 40.01372336970849, 'lng': -105.2517965802915}}}",Wells Fargo Bank,"{'compound_code': '2P8X+3R Boulder, Colorado, United States', 'global_code': '85GP2P8X+3R'}","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']","3289 Arapahoe Avenue, Boulder",40.0151607,-105.2504772,37.9158,5,communications
"{'location': {'lat': 40.0152652, 'lng': -105.2243524}, 'viewport': {'northeast': {'lat': 40.01651658029149, 'lng': -105.2231829697085}, 'southwest': {'lat': 40.01381861970849, 'lng': -105.2258809302915}}}",Premier Members Credit Union,"{'compound_code': '2Q8G+47 Boulder, Colorado, United States', 'global_code': '85GP2Q8G+47'}","['atm', 'finance', 'point_of_interest', 'establishment']","5505 Arapahoe Avenue, Boulder",40.0152652,-105.2243524,36.6616,5,communications
"{'location': {'lat': 39.4997167, 'lng': -105.1069827}, 'viewport': {'northeast': {'lat': 39.50047583029151, 'lng': -105.1059612697085}, 'southwest': {'lat': 39.49777786970851, 'lng': -105.1086592302915}}}",Martin Heliport,"{'compound_code': 'FVXV+V6 Roxborough Park, Colorado, United States', 'global_code': '85FPFVXV+V6'}","['airport', 'point_of_interest', 'establishment']",Littleton,39.4997167,-105.1069827,28.4795,6,transportation
"{'location': {'lat': 39.5282284, 'lng': -104.6550938}, 'viewport': {'northeast': {'lat': 39.5298615802915, 'lng': -104.65409345}, 'southwest': {'lat': 39.5271636197085, 'lng': -104.65809485}}}",Everitt Airport-1CO8,"{'compound_code': 'G8HV+7X Aurora, Colorado, United States', 'global_code': '85FQG8HV+7X'}","['airport', 'point_of_interest', 'establishment']","45250 North Delbert Road, Parker",39.528228399999996,-104.6550938,37.1119,6,transportation
"{'location': {'lat': 39.560193, 'lng': -105.002088}, 'viewport': {'northeast': {'lat': 39.56114558029149, 'lng': -105.0006614197085}, 'southwest': {'lat': 39.5584476197085, 'lng': -105.0033593802915}}}",Schomp BMW,"{'compound_code': 'HX6X+35 Highlands Ranch, Colorado, United States', 'global_code': '85FPHX6X+35'}","['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']","1190 Plum Valley Lane, Highlands Ranch",39.560193,-105.00208799999999,19.9563,6,transportation
"{'location': {'lat': 39.56283560000001, 'lng': -104.9113}, 'viewport': {'northeast': {'lat': 39.5641977802915, 'lng': -104.9100110197085}, 'southwest': {'lat': 39.5614998197085, 'lng': -104.9127089802915}}}",Walmart Auto Care Centers,"{'compound_code': 'H37Q+4F Highlands Ranch, Colorado, United States', 'global_code': '85FQH37Q+4F'}","['car_repair', 'point_of_interest', 'store', 'establishment']","6675 Business Center Drive, Highlands Ranch",39.56283560000001,-104.9113,20.7696,6,transportation
"{'location': {'lat': 39.56947890000001, 'lng': -104.9895684}, 'viewport': {'northeast': {'lat': 39.5708569802915, 'lng': -104.9880355697085}, 'southwest': {'lat': 39.5681590197085, 'lng': -104.9907335302915}}}",Enterprise Rent-A-Car,"{'compound_code': 'H296+Q5 Littleton, Colorado, United States', 'global_code': '85FQH296+Q5'}","['car_rental', 'point_of_interest', 'establishment']","8061 South Broadway ste b, Littleton",39.56947890000001,-104.98956840000001,18.8969,6,transportation
"{'location': {'lat': 39.5751033, 'lng': -104.8451384}, 'viewport': {'northeast': {'lat': 39.58265925, 'lng': -104.8439508697085}, 'southwest': {'lat': 39.57258465, 'lng': -104.8466488302915}}}",Centennial Airport,"{'compound_code': 'H5G3+2W Centennial, Colorado, United States', 'global_code': '85FQH5G3+2W'}","['airport', 'point_of_interest', 'establishment']","7800 South Peoria Street, Centennial",39.5751033,-104.84513840000001,22.1016,6,transportation
"{'location': {'lat': 39.58923, 'lng': -104.862583}, 'viewport': {'northeast': {'lat': 39.5904509302915, 'lng': -104.8612346197085}, 'southwest': {'lat': 39.5877529697085, 'lng': -104.8639325802915}}}",CubeSmart Self Storage,"{'compound_code': 'H4QP+MX Centennial, Colorado, United States', 'global_code': '85FQH4QP+MX'}","['moving_company', 'storage', 'point_of_interest', 'store', 'establishment']","7059 South Kenton Street, Centennial",39.58923,-104.862583,19.9629,6,transportation
"{'location': {'lat': 39.5942847, 'lng': -104.8725527}, 'viewport': {'northeast': {'lat': 39.5958901302915, 'lng': -104.8709629197085}, 'southwest': {'lat': 39.5931921697085, 'lng': -104.8736608802915}}}",Larry H. Miller Nissan Arapahoe,"{'compound_code': 'H4VG+PX Centennial, Colorado, United States', 'global_code': '85FQH4VG+PX'}","['finance', 'car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']","10030 East Arapahoe Road, Centennial",39.5942847,-104.8725527,19.0282,6,transportation
"{'location': {'lat': 39.5956838, 'lng': -104.8448382}, 'viewport': {'northeast': {'lat': 39.5970319802915, 'lng': -104.8437369697085}, 'southwest': {'lat': 39.5943340197085, 'lng': -104.8464349302915}}}",Colorado Auto Finders,"{'compound_code': 'H5W4+73 Centennial, Colorado, United States', 'global_code': '85FQH5W4+73'}","['car_dealer', 'point_of_interest', 'store', 'establishment']","12351 East Arapahoe Road, Centennial",39.595683799999996,-104.8448382,20.2634,6,transportation
"{'location': {'lat': 39.5963305, 'lng': -104.8714665}, 'viewport': {'northeast': {'lat': 39.5975606802915, 'lng': -104.8700076197085}, 'southwest': {'lat': 39.5948627197085, 'lng': -104.8727055802915}}}",Groove Ford,"{'compound_code': 'H4WH+GC Centennial, Colorado, United States', 'global_code': '85FQH4WH+GC'}","['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']","10039 East Arapahoe Road, Centennial",39.5963305,-104.8714665,18.8853,6,transportation
"{'location': {'lat': 39.59656, 'lng': -104.8655237}, 'viewport': {'northeast': {'lat': 39.5975701802915, 'lng': -104.8641304197085}, 'southwest': {'lat': 39.5948722197085, 'lng': -104.8668283802915}}}",AutoNation Toyota Arapahoe,"{'compound_code': 'H4WM+JQ Centennial, Colorado, United States', 'global_code': '85FQH4WM+JQ'}","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']","10531 East Arapahoe Road, Centennial",39.59656,-104.8655237,19.1434,6,transportation
"{'location': {'lat': 39.6106686, 'lng': -104.8977319}, 'viewport': {'northeast': {'lat': 39.61201758029149, 'lng': -104.8965591697085}, 'southwest': {'lat': 39.60931961970849, 'lng': -104.8992571302915}}}",Enterprise Rent-A-Car,"{'compound_code': 'J462+7W Greenwood Village, Colorado, United States', 'global_code': '85FQJ462+7W'}","['car_rental', 'point_of_interest', 'establishment']","7801 East Orchard Road, Greenwood Village",39.6106686,-104.89773190000001,16.3603,6,transportation
"{'location': {'lat': 39.6181377, 'lng': -104.9869869}, 'viewport': {'northeast': {'lat': 39.61948123029151, 'lng': -104.9861098197085}, 'southwest': {'lat': 39.61678326970851, 'lng': -104.9888077802915}}}",Groove Toyota,"{'compound_code': 'J297+76 Englewood, Colorado, United States', 'global_code': '85FQJ297+76'}","['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']","5460 South Broadway, Englewood",39.618137700000005,-104.98698689999999,13.4832,6,transportation
